Date,Medicine_Name,Pharmacy_ID,Pharmacy_Name,Location,Address,Stock_Available,Units_Sold,Incoming_Stock,Season,Disease_Trend,Day_of_Week,Supplier_Delay,Demand_Trend,Prescription_Required,Price,Medicine_Type,Criticality_Level,Supplier_Type,Restock_Time,Dosage_Form,Manufacturer,Shortage
2020-01-11,Paracetamol,P003,Wellness Forever,Thane,Thane West,139,50,26,Flu,Medium,Saturday,0,Increasing,No,20,Common,Low,Local,4,Tablet,Sun Pharma,0
2020-01-12,Ibuprofen,P004,Local Care Pharmacy,Bandra,Bandra West,82,87,39,Flu,High,Sunday,1,Stable,No,30,Common,Low,Regional,3,Tablet,Cipla,0
2020-01-13,Crocin,P001,Apollo Pharmacy,Andheri,Andheri West,130,43,47,Flu,Medium,Monday,3,Stable,No,25,Common,Low,Local,3,Tablet,GSK,0
2020-01-14,Cetirizine,P002,MedPlus,Dadar,Dadar East,153,61,58,Flu,Medium,Tuesday,2,Stable,No,15,Common,Low,Regional,4,Syrup,Dr. Reddy's,0
2020-01-15,Azithromycin,P003,Wellness Forever,Thane,Thane West,120,37,44,Flu,Medium,Wednesday,2,Decreasing,Yes,90,Rare,High,Imported,8,Capsule,Pfizer,0
2020-01-16,Amoxicillin,P004,Local Care Pharmacy,Bandra,Bandra West,104,68,11,Flu,High,Thursday,3,Stable,Yes,80,Critical,High,National,9,Capsule,Abbott,0
2020-01-17,Metformin,P001,Apollo Pharmacy,Andheri,Andheri West,85,76,11,Flu,High,Friday,1,Stable,Yes,45,Chronic,Medium,National,6,Tablet,Sun Pharma,0
2020-01-18,Amlodipine,P002,MedPlus,Dadar,Dadar East,111,66,51,Flu,Medium,Saturday,3,Decreasing,Yes,35,Chronic,Medium,National,8,Tablet,Cipla,0
2020-01-19,Insulin,P003,Wellness Forever,Thane,Thane West,84,72,36,Flu,High,Sunday,0,Decreasing,Yes,95,Chronic,High,National,6,Injection,Novo Nordisk,0
2020-01-20,Glimepiride,P004,Local Care Pharmacy,Bandra,Bandra West,82,82,44,Flu,High,Monday,0,Increasing,Yes,50,Chronic,Medium,National,6,Tablet,Lupin,0
2020-01-21,Paracetamol,P001,Apollo Pharmacy,Andheri,Andheri West,167,45,8,Flu,Medium,Tuesday,0,Increasing,No,20,Common,Low,Local,3,Tablet,Sun Pharma,0
2020-01-22,Ibuprofen,P002,MedPlus,Dadar,Dadar East,162,70,24,Flu,Medium,Wednesday,3,Increasing,No,30,Common,Low,Local,5,Tablet,Cipla,0
2020-01-23,Crocin,P003,Wellness Forever,Thane,Thane West,169,60,0,Flu,Medium,Thursday,1,Decreasing,No,25,Common,Low,Regional,2,Tablet,GSK,0
2020-01-24,Cetirizine,P004,Local Care Pharmacy,Bandra,Bandra West,144,41,27,Flu,Medium,Friday,3,Stable,No,15,Common,Low,Local,2,Syrup,Dr. Reddy's,0
2020-01-25,Azithromycin,P001,Apollo Pharmacy,Andheri,Andheri West,130,63,0,Flu,High,Saturday,0,Stable,Yes,90,Rare,High,Imported,9,Capsule,Pfizer,0
2020-01-26,Amoxicillin,P002,MedPlus,Dadar,Dadar East,123,73,2,Flu,High,Sunday,3,Stable,Yes,80,Critical,High,National,12,Capsule,Abbott,0
2020-01-27,Metformin,P003,Wellness Forever,Thane,Thane West,98,47,31,Flu,Medium,Monday,1,Decreasing,Yes,45,Chronic,Medium,National,7,Tablet,Sun Pharma,0
2020-01-28,Amlodipine,P004,Local Care Pharmacy,Bandra,Bandra West,128,82,7,Flu,High,Tuesday,3,Stable,Yes,35,Chronic,Medium,National,6,Tablet,Cipla,0
2020-01-29,Insulin,P001,Apollo Pharmacy,Andheri,Andheri West,98,70,26,Flu,High,Wednesday,3,Stable,Yes,95,Chronic,High,National,7,Injection,Novo Nordisk,0
2020-01-30,Glimepiride,P002,MedPlus,Dadar,Dadar East,101,96,41,Flu,Medium,Thursday,2,Increasing,Yes,50,Chronic,Medium,National,5,Tablet,Lupin,0
2020-01-31,Paracetamol,P003,Wellness Forever,Thane,Thane West,151,98,59,Flu,High,Friday,3,Increasing,No,20,Common,Low,Regional,5,Tablet,Sun Pharma,0
2020-02-01,Ibuprofen,P004,Local Care Pharmacy,Bandra,Bandra West,126,54,33,Flu,Medium,Saturday,2,Decreasing,No,30,Common,Low,Local,4,Tablet,Cipla,0
2020-02-02,Crocin,P001,Apollo Pharmacy,Andheri,Andheri West,121,81,38,Flu,High,Sunday,0,Decreasing,No,25,Common,Low,Regional,5,Tablet,GSK,0
2020-02-03,Cetirizine,P002,MedPlus,Dadar,Dadar East,140,88,59,Flu,High,Monday,0,Increasing,No,15,Common,Low,Local,2,Syrup,Dr. Reddy's,0
2020-02-04,Azithromycin,P003,Wellness Forever,Thane,Thane West,149,64,20,Flu,High,Tuesday,3,Decreasing,Yes,90,Rare,High,Imported,15,Capsule,Pfizer,0
2020-02-05,Amoxicillin,P004,Local Care Pharmacy,Bandra,Bandra West,88,69,36,Flu,High,Wednesday,1,Decreasing,Yes,80,Critical,High,National,10,Capsule,Abbott,0
2020-02-06,Metformin,P001,Apollo Pharmacy,Andheri,Andheri West,92,76,36,Flu,High,Thursday,1,Increasing,Yes,45,Chronic,Medium,National,8,Tablet,Sun Pharma,0
2020-02-07,Amlodipine,P002,MedPlus,Dadar,Dadar East,116,65,32,Flu,Medium,Friday,2,Decreasing,Yes,35,Chronic,Medium,National,7,Tablet,Cipla,0
2020-02-08,Insulin,P003,Wellness Forever,Thane,Thane West,113,83,38,Flu,Medium,Saturday,0,Increasing,Yes,95,Chronic,High,National,7,Injection,Novo Nordisk,0
2020-02-09,Glimepiride,P004,Local Care Pharmacy,Bandra,Bandra West,105,100,21,Flu,High,Sunday,1,Increasing,Yes,50,Chronic,Medium,National,5,Tablet,Lupin,0
2020-02-10,Paracetamol,P001,Apollo Pharmacy,Andheri,Andheri West,83,77,25,Flu,High,Monday,1,Increasing,No,20,Common,Low,Regional,4,Tablet,Sun Pharma,0
2020-02-11,Ibuprofen,P002,MedPlus,Dadar,Dadar East,130,100,14,Flu,High,Tuesday,0,Increasing,No,30,Common,Low,Local,5,Tablet,Cipla,0
2020-02-12,Crocin,P003,Wellness Forever,Thane,Thane West,102,66,33,Flu,Medium,Wednesday,0,Decreasing,No,25,Common,Low,Local,4,Tablet,GSK,0
2020-02-13,Cetirizine,P004,Local Care Pharmacy,Bandra,Bandra West,149,45,9,Flu,Medium,Thursday,0,Increasing,No,15,Common,Low,Local,2,Syrup,Dr. Reddy's,0
2020-02-14,Azithromycin,P001,Apollo Pharmacy,Andheri,Andheri West,171,47,33,Flu,Medium,Friday,3,Decreasing,Yes,90,Rare,High,Imported,8,Capsule,Pfizer,0
2020-02-15,Amoxicillin,P002,MedPlus,Dadar,Dadar East,154,72,54,Flu,High,Saturday,1,Decreasing,Yes,80,Critical,High,National,13,Capsule,Abbott,0
2020-02-16,Metformin,P003,Wellness Forever,Thane,Thane West,133,83,0,Flu,High,Sunday,0,Increasing,Yes,45,Chronic,Medium,National,8,Tablet,Sun Pharma,0
2020-02-17,Amlodipine,P004,Local Care Pharmacy,Bandra,Bandra West,95,94,52,Flu,High,Monday,1,Decreasing,Yes,35,Chronic,Medium,National,7,Tablet,Cipla,0
2020-02-18,Insulin,P001,Apollo Pharmacy,Andheri,Andheri West,90,78,60,Flu,High,Tuesday,2,Increasing,Yes,95,Chronic,High,National,6,Injection,Novo Nordisk,0
2020-02-19,Glimepiride,P002,MedPlus,Dadar,Dadar East,134,83,35,Flu,Medium,Wednesday,0,Increasing,Yes,50,Chronic,Medium,National,5,Tablet,Lupin,0
2020-02-20,Paracetamol,P003,Wellness Forever,Thane,Thane West,116,55,30,Flu,Medium,Thursday,3,Stable,No,20,Common,Low,Local,2,Tablet,Sun Pharma,0
2020-02-21,Ibuprofen,P004,Local Care Pharmacy,Bandra,Bandra West,150,46,32,Flu,Medium,Friday,3,Increasing,No,30,Common,Low,Regional,3,Tablet,Cipla,0
2020-02-22,Crocin,P001,Apollo Pharmacy,Andheri,Andheri West,101,70,56,Flu,High,Saturday,0,Increasing,No,25,Common,Low,Local,3,Tablet,GSK,0
2020-02-23,Cetirizine,P002,MedPlus,Dadar,Dadar East,114,89,32,Flu,High,Sunday,1,Stable,No,15,Common,Low,Local,3,Syrup,Dr. Reddy's,0
2020-02-24,Azithromycin,P003,Wellness Forever,Thane,Thane West,105,72,25,Flu,High,Monday,3,Stable,Yes,90,Rare,High,Imported,12,Capsule,Pfizer,0
2020-02-25,Amoxicillin,P004,Local Care Pharmacy,Bandra,Bandra West,82,91,9,Flu,High,Tuesday,3,Decreasing,Yes,80,Critical,High,National,9,Capsule,Abbott,0
2020-02-26,Metformin,P001,Apollo Pharmacy,Andheri,Andheri West,150,84,50,Flu,High,Wednesday,3,Stable,Yes,45,Chronic,Medium,National,6,Tablet,Sun Pharma,0
2020-02-27,Amlodipine,P002,MedPlus,Dadar,Dadar East,173,46,38,Flu,Medium,Thursday,0,Decreasing,Yes,35,Chronic,Medium,National,7,Tablet,Cipla,0
2020-02-28,Insulin,P003,Wellness Forever,Thane,Thane West,124,77,48,Flu,High,Friday,1,Stable,Yes,95,Chronic,High,National,7,Injection,Novo Nordisk,0
2020-02-29,Glimepiride,P004,Local Care Pharmacy,Bandra,Bandra West,106,75,58,Flu,Medium,Saturday,3,Increasing,Yes,50,Chronic,Medium,National,8,Tablet,Lupin,0
2020-03-01,Paracetamol,P001,Apollo Pharmacy,Andheri,Andheri West,181,25,19,Normal,Low,Sunday,0,Increasing,No,20,Common,Low,Regional,3,Tablet,Sun Pharma,0
2020-03-02,Ibuprofen,P002,MedPlus,Dadar,Dadar East,164,16,58,Normal,Low,Monday,1,Decreasing,No,30,Common,Low,Local,2,Tablet,Cipla,0
2020-03-03,Crocin,P003,Wellness Forever,Thane,Thane West,153,29,18,Normal,Low,Tuesday,2,Decreasing,No,25,Common,Low,Regional,3,Tablet,GSK,0
2020-03-04,Cetirizine,P004,Local Care Pharmacy,Bandra,Bandra West,121,18,26,Normal,Low,Wednesday,3,Stable,No,15,Common,Low,Local,4,Syrup,Dr. Reddy's,0
2020-03-05,Azithromycin,P001,Apollo Pharmacy,Andheri,Andheri West,187,23,5,Normal,Low,Thursday,2,Stable,Yes,90,Rare,High,Imported,9,Capsule,Pfizer,0
2020-03-06,Amoxicillin,P002,MedPlus,Dadar,Dadar East,119,13,57,Normal,Low,Friday,2,Stable,Yes,80,Critical,High,National,10,Capsule,Abbott,0
2020-03-07,Metformin,P003,Wellness Forever,Thane,Thane West,143,25,9,Normal,Low,Saturday,2,Decreasing,Yes,45,Chronic,Medium,National,7,Tablet,Sun Pharma,0
2020-03-08,Amlodipine,P004,Local Care Pharmacy,Bandra,Bandra West,168,18,12,Normal,Low,Sunday,3,Stable,Yes,35,Chronic,Medium,National,6,Tablet,Cipla,0
2020-03-09,Insulin,P001,Apollo Pharmacy,Andheri,Andheri West,103,61,42,Normal,Low,Monday,0,Stable,Yes,95,Chronic,High,National,6,Injection,Novo Nordisk,0
2020-03-10,Glimepiride,P002,MedPlus,Dadar,Dadar East,159,68,22,Normal,Low,Tuesday,0,Increasing,Yes,50,Chronic,Medium,National,8,Tablet,Lupin,0
2020-03-11,Paracetamol,P003,Wellness Forever,Thane,Thane West,161,30,49,Normal,Low,Wednesday,0,Stable,No,20,Common,Low,Regional,2,Tablet,Sun Pharma,0
2020-03-12,Ibuprofen,P004,Local Care Pharmacy,Bandra,Bandra West,190,18,35,Normal,Low,Thursday,2,Increasing,No,30,Common,Low,Regional,5,Tablet,Cipla,0
2020-03-13,Crocin,P001,Apollo Pharmacy,Andheri,Andheri West,182,25,31,Normal,Low,Friday,2,Decreasing,No,25,Common,Low,Local,3,Tablet,GSK,0
2020-03-14,Cetirizine,P002,MedPlus,Dadar,Dadar East,114,22,37,Normal,Low,Saturday,2,Increasing,No,15,Common,Low,Local,5,Syrup,Dr. Reddy's,0
2020-03-15,Azithromycin,P003,Wellness Forever,Thane,Thane West,161,10,37,Normal,Low,Sunday,0,Decreasing,Yes,90,Rare,High,Imported,11,Capsule,Pfizer,0
2020-03-16,Amoxicillin,P004,Local Care Pharmacy,Bandra,Bandra West,194,13,32,Normal,Low,Monday,2,Stable,Yes,80,Critical,High,National,8,Capsule,Abbott,0
2020-03-17,Metformin,P001,Apollo Pharmacy,Andheri,Andheri West,128,24,2,Normal,Low,Tuesday,0,Stable,Yes,45,Chronic,Medium,National,6,Tablet,Sun Pharma,0
2020-03-18,Amlodipine,P002,MedPlus,Dadar,Dadar East,118,17,51,Normal,Low,Wednesday,0,Increasing,Yes,35,Chronic,Medium,National,7,Tablet,Cipla,0
2020-03-19,Insulin,P003,Wellness Forever,Thane,Thane West,161,61,30,Normal,Low,Thursday,3,Stable,Yes,95,Chronic,High,National,8,Injection,Novo Nordisk,0
2020-03-20,Glimepiride,P004,Local Care Pharmacy,Bandra,Bandra West,136,86,41,Normal,Low,Friday,3,Increasing,Yes,50,Chronic,Medium,National,5,Tablet,Lupin,0
2020-03-21,Paracetamol,P001,Apollo Pharmacy,Andheri,Andheri West,173,25,58,Normal,Low,Saturday,1,Decreasing,No,20,Common,Low,Regional,5,Tablet,Sun Pharma,0
2020-03-22,Ibuprofen,P002,MedPlus,Dadar,Dadar East,180,26,13,Normal,Low,Sunday,0,Stable,No,30,Common,Low,Regional,5,Tablet,Cipla,0
2020-03-23,Crocin,P003,Wellness Forever,Thane,Thane West,114,23,50,Normal,Low,Monday,0,Increasing,No,25,Common,Low,Local,5,Tablet,GSK,0
2020-03-24,Cetirizine,P004,Local Care Pharmacy,Bandra,Bandra West,111,30,55,Normal,Low,Tuesday,1,Increasing,No,15,Common,Low,Local,5,Syrup,Dr. Reddy's,0
2020-03-25,Azithromycin,P001,Apollo Pharmacy,Andheri,Andheri West,155,12,6,Normal,Low,Wednesday,3,Increasing,Yes,90,Rare,High,Imported,14,Capsule,Pfizer,0
2020-03-26,Amoxicillin,P002,MedPlus,Dadar,Dadar East,133,16,43,Normal,Low,Thursday,0,Increasing,Yes,80,Critical,High,National,14,Capsule,Abbott,0
2020-03-27,Metformin,P003,Wellness Forever,Thane,Thane West,180,23,21,Normal,Low,Friday,2,Stable,Yes,45,Chronic,Medium,National,8,Tablet,Sun Pharma,0
2020-03-28,Amlodipine,P004,Local Care Pharmacy,Bandra,Bandra West,126,24,30,Normal,Low,Saturday,2,Stable,Yes,35,Chronic,Medium,National,5,Tablet,Cipla,0
2020-03-29,Insulin,P001,Apollo Pharmacy,Andheri,Andheri West,143,85,34,Normal,Low,Sunday,1,Decreasing,Yes,95,Chronic,High,National,5,Injection,Novo Nordisk,0
2020-03-30,Glimepiride,P002,MedPlus,Dadar,Dadar East,107,84,44,Normal,Low,Monday,0,Increasing,Yes,50,Chronic,Medium,National,5,Tablet,Lupin,0
2020-03-31,Paracetamol,P003,Wellness Forever,Thane,Thane West,174,22,13,Normal,Low,Tuesday,0,Decreasing,No,20,Common,Low,Local,4,Tablet,Sun Pharma,0
2020-04-01,Ibuprofen,P004,Local Care Pharmacy,Bandra,Bandra West,157,28,43,Normal,Low,Wednesday,1,Stable,No,30,Common,Low,Regional,4,Tablet,Cipla,0
2020-04-02,Crocin,P001,Apollo Pharmacy,Andheri,Andheri West,122,21,27,Normal,Low,Thursday,1,Increasing,No,25,Common,Low,Regional,5,Tablet,GSK,0
2020-04-03,Cetirizine,P002,MedPlus,Dadar,Dadar East,173,14,2,Normal,Low,Friday,2,Decreasing,No,15,Common,Low,Regional,4,Syrup,Dr. Reddy's,0
2020-04-04,Azithromycin,P003,Wellness Forever,Thane,Thane West,125,10,2,Normal,Low,Saturday,3,Stable,Yes,90,Rare,High,Imported,12,Capsule,Pfizer,0
2020-04-05,Amoxicillin,P004,Local Care Pharmacy,Bandra,Bandra West,147,10,34,Normal,Low,Sunday,0,Increasing,Yes,80,Critical,High,National,13,Capsule,Abbott,0
2020-04-06,Metformin,P001,Apollo Pharmacy,Andheri,Andheri West,119,25,44,Normal,Low,Monday,2,Decreasing,Yes,45,Chronic,Medium,National,8,Tablet,Sun Pharma,0
2020-04-07,Amlodipine,P002,MedPlus,Dadar,Dadar East,182,17,0,Normal,Low,Tuesday,0,Increasing,Yes,35,Chronic,Medium,National,7,Tablet,Cipla,0
2020-04-08,Insulin,P003,Wellness Forever,Thane,Thane West,155,56,15,Normal,Low,Wednesday,1,Stable,Yes,95,Chronic,High,National,7,Injection,Novo Nordisk,0
2020-04-09,Glimepiride,P004,Local Care Pharmacy,Bandra,Bandra West,89,80,13,Normal,Low,Thursday,3,Increasing,Yes,50,Chronic,Medium,National,8,Tablet,Lupin,0
2020-04-10,Paracetamol,P001,Apollo Pharmacy,Andheri,Andheri West,129,21,5,Normal,Low,Friday,2,Decreasing,No,20,Common,Low,Local,5,Tablet,Sun Pharma,0
2020-04-11,Ibuprofen,P002,MedPlus,Dadar,Dadar East,158,10,32,Normal,Low,Saturday,2,Increasing,No,30,Common,Low,Local,3,Tablet,Cipla,0
2020-04-12,Crocin,P003,Wellness Forever,Thane,Thane West,129,16,23,Normal,Low,Sunday,3,Stable,No,25,Common,Low,Local,3,Tablet,GSK,0
2020-04-13,Cetirizine,P004,Local Care Pharmacy,Bandra,Bandra West,183,25,57,Normal,Low,Monday,3,Decreasing,No,15,Common,Low,Local,5,Syrup,Dr. Reddy's,0
2020-04-14,Azithromycin,P001,Apollo Pharmacy,Andheri,Andheri West,135,18,21,Normal,Low,Tuesday,2,Stable,Yes,90,Rare,High,Imported,13,Capsule,Pfizer,0
2020-04-15,Amoxicillin,P002,MedPlus,Dadar,Dadar East,187,15,4,Normal,Low,Wednesday,0,Decreasing,Yes,80,Critical,High,National,12,Capsule,Abbott,0
2020-04-16,Metformin,P003,Wellness Forever,Thane,Thane West,118,28,58,Normal,Low,Thursday,2,Increasing,Yes,45,Chronic,Medium,National,5,Tablet,Sun Pharma,0
2020-04-17,Amlodipine,P004,Local Care Pharmacy,Bandra,Bandra West,116,17,38,Normal,Low,Friday,3,Stable,Yes,35,Chronic,Medium,National,6,Tablet,Cipla,0
2020-04-18,Insulin,P001,Apollo Pharmacy,Andheri,Andheri West,96,88,19,Normal,Low,Saturday,2,Stable,Yes,95,Chronic,High,National,8,Injection,Novo Nordisk,0
2020-04-19,Glimepiride,P002,MedPlus,Dadar,Dadar East,138,97,36,Normal,Low,Sunday,1,Stable,Yes,50,Chronic,Medium,National,8,Tablet,Lupin,0
2020-04-20,Paracetamol,P003,Wellness Forever,Thane,Thane West,108,25,45,Normal,Low,Monday,2,Stable,No,20,Common,Low,Regional,5,Tablet,Sun Pharma,0
2020-04-21,Ibuprofen,P004,Local Care Pharmacy,Bandra,Bandra West,138,18,55,Normal,Low,Tuesday,1,Decreasing,No,30,Common,Low,Regional,5,Tablet,Cipla,0
2020-04-22,Crocin,P001,Apollo Pharmacy,Andheri,Andheri West,158,25,40,Normal,Low,Wednesday,3,Increasing,No,25,Common,Low,Local,2,Tablet,GSK,0
2020-04-23,Cetirizine,P002,MedPlus,Dadar,Dadar East,187,19,21,Normal,Low,Thursday,3,Decreasing,No,15,Common,Low,Regional,4,Syrup,Dr. Reddy's,0
2020-04-24,Azithromycin,P003,Wellness Forever,Thane,Thane West,182,11,38,Normal,Low,Friday,1,Increasing,Yes,90,Rare,High,Imported,11,Capsule,Pfizer,0
2020-04-25,Amoxicillin,P004,Local Care Pharmacy,Bandra,Bandra West,177,14,52,Normal,Low,Saturday,2,Stable,Yes,80,Critical,High,National,14,Capsule,Abbott,0
2020-04-26,Metformin,P001,Apollo Pharmacy,Andheri,Andheri West,133,14,12,Normal,Low,Sunday,2,Decreasing,Yes,45,Chronic,Medium,National,8,Tablet,Sun Pharma,0
2020-04-27,Amlodipine,P002,MedPlus,Dadar,Dadar East,116,30,39,Normal,Low,Monday,3,Decreasing,Yes,35,Chronic,Medium,National,5,Tablet,Cipla,0
2020-04-28,Insulin,P003,Wellness Forever,Thane,Thane West,101,51,8,Normal,Low,Tuesday,1,Stable,Yes,95,Chronic,High,National,7,Injection,Novo Nordisk,0
2020-04-29,Glimepiride,P004,Local Care Pharmacy,Bandra,Bandra West,128,91,1,Normal,Low,Wednesday,2,Increasing,Yes,50,Chronic,Medium,National,8,Tablet,Lupin,0
2020-04-30,Paracetamol,P001,Apollo Pharmacy,Andheri,Andheri West,162,24,46,Normal,Low,Thursday,1,Stable,No,20,Common,Low,Regional,4,Tablet,Sun Pharma,0
2020-05-01,Ibuprofen,P002,MedPlus,Dadar,Dadar East,129,30,48,Normal,Low,Friday,2,Decreasing,No,30,Common,Low,Local,5,Tablet,Cipla,0
2020-05-02,Crocin,P003,Wellness Forever,Thane,Thane West,180,29,56,Normal,Low,Saturday,0,Increasing,No,25,Common,Low,Local,4,Tablet,GSK,0
2020-05-03,Cetirizine,P004,Local Care Pharmacy,Bandra,Bandra West,182,14,33,Normal,Low,Sunday,1,Stable,No,15,Common,Low,Local,5,Syrup,Dr. Reddy's,0
2020-05-04,Azithromycin,P001,Apollo Pharmacy,Andheri,Andheri West,165,10,21,Normal,Low,Monday,3,Increasing,Yes,90,Rare,High,Imported,15,Capsule,Pfizer,0
2020-05-05,Amoxicillin,P002,MedPlus,Dadar,Dadar East,156,13,49,Normal,Low,Tuesday,3,Stable,Yes,80,Critical,High,National,15,Capsule,Abbott,0
2020-05-06,Metformin,P003,Wellness Forever,Thane,Thane West,161,17,41,Normal,Low,Wednesday,0,Stable,Yes,45,Chronic,Medium,National,8,Tablet,Sun Pharma,0
2020-05-07,Amlodipine,P004,Local Care Pharmacy,Bandra,Bandra West,166,27,60,Normal,Low,Thursday,0,Increasing,Yes,35,Chronic,Medium,National,8,Tablet,Cipla,0
2020-05-08,Insulin,P001,Apollo Pharmacy,Andheri,Andheri West,128,59,46,Normal,Low,Friday,0,Stable,Yes,95,Chronic,High,National,8,Injection,Novo Nordisk,0
2020-05-09,Glimepiride,P002,MedPlus,Dadar,Dadar East,130,85,51,Normal,Low,Saturday,2,Stable,Yes,50,Chronic,Medium,National,5,Tablet,Lupin,0
2020-05-10,Paracetamol,P003,Wellness Forever,Thane,Thane West,160,29,23,Normal,Low,Sunday,0,Increasing,No,20,Common,Low,Local,2,Tablet,Sun Pharma,0
2020-05-11,Ibuprofen,P004,Local Care Pharmacy,Bandra,Bandra West,108,25,37,Normal,Low,Monday,1,Stable,No,30,Common,Low,Regional,5,Tablet,Cipla,0
2020-05-12,Crocin,P001,Apollo Pharmacy,Andheri,Andheri West,127,13,47,Normal,Low,Tuesday,3,Stable,No,25,Common,Low,Regional,2,Tablet,GSK,0
2020-05-13,Cetirizine,P002,MedPlus,Dadar,Dadar East,126,14,15,Normal,Low,Wednesday,2,Increasing,No,15,Common,Low,Local,5,Syrup,Dr. Reddy's,0
2020-05-14,Azithromycin,P003,Wellness Forever,Thane,Thane West,136,18,13,Normal,Low,Thursday,1,Stable,Yes,90,Rare,High,Imported,9,Capsule,Pfizer,0
2020-05-15,Amoxicillin,P004,Local Care Pharmacy,Bandra,Bandra West,187,23,7,Normal,Low,Friday,3,Stable,Yes,80,Critical,High,National,13,Capsule,Abbott,0
2020-05-16,Metformin,P001,Apollo Pharmacy,Andheri,Andheri West,183,14,15,Normal,Low,Saturday,3,Stable,Yes,45,Chronic,Medium,National,8,Tablet,Sun Pharma,0
2020-05-17,Amlodipine,P002,MedPlus,Dadar,Dadar East,142,29,21,Normal,Low,Sunday,1,Decreasing,Yes,35,Chronic,Medium,National,8,Tablet,Cipla,0
2020-05-18,Insulin,P003,Wellness Forever,Thane,Thane West,125,76,58,Normal,Low,Monday,3,Increasing,Yes,95,Chronic,High,National,7,Injection,Novo Nordisk,0
2020-05-19,Glimepiride,P004,Local Care Pharmacy,Bandra,Bandra West,140,67,35,Normal,Low,Tuesday,1,Increasing,Yes,50,Chronic,Medium,National,8,Tablet,Lupin,0
2020-05-20,Paracetamol,P001,Apollo Pharmacy,Andheri,Andheri West,164,20,54,Normal,Low,Wednesday,3,Decreasing,No,20,Common,Low,Local,4,Tablet,Sun Pharma,0
2020-05-21,Ibuprofen,P002,MedPlus,Dadar,Dadar East,165,15,10,Normal,Low,Thursday,3,Stable,No,30,Common,Low,Regional,5,Tablet,Cipla,0
2020-05-22,Crocin,P003,Wellness Forever,Thane,Thane West,114,23,27,Normal,Low,Friday,1,Increasing,No,25,Common,Low,Local,4,Tablet,GSK,0
2020-05-23,Cetirizine,P004,Local Care Pharmacy,Bandra,Bandra West,171,28,32,Normal,Low,Saturday,0,Decreasing,No,15,Common,Low,Local,2,Syrup,Dr. Reddy's,0
2020-05-24,Azithromycin,P001,Apollo Pharmacy,Andheri,Andheri West,144,10,19,Normal,Low,Sunday,3,Increasing,Yes,90,Rare,High,Imported,12,Capsule,Pfizer,0
2020-05-25,Amoxicillin,P002,MedPlus,Dadar,Dadar East,163,10,25,Normal,Low,Monday,2,Stable,Yes,80,Critical,High,National,8,Capsule,Abbott,0
2020-05-26,Metformin,P003,Wellness Forever,Thane,Thane West,119,10,58,Normal,Low,Tuesday,1,Stable,Yes,45,Chronic,Medium,National,5,Tablet,Sun Pharma,0
2020-05-27,Amlodipine,P004,Local Care Pharmacy,Bandra,Bandra West,136,21,39,Normal,Low,Wednesday,0,Stable,Yes,35,Chronic,Medium,National,7,Tablet,Cipla,0
2020-05-28,Insulin,P001,Apollo Pharmacy,Andheri,Andheri West,124,84,16,Normal,Low,Thursday,2,Stable,Yes,95,Chronic,High,National,5,Injection,Novo Nordisk,0
